id,theme,scenario_id,scenario_text,question_number,question,option_a,option_b,option_c,option_d,correct_answer,feedback_correct,feedback_incorrect
1,Gestion et organisation des soins,1,"Mme Lavoie, 62 ans, est admise à l’urgence pour polyurie, polydipsie et perte de poids de 8 kg en 2 mois. ATCD : diabète type 2, HTA, hypercholestérolémie. TA 138/84 mmHg, FR 22/min, FC 104/min, glycémie capillaire 24 mmol/L, cétonurie +.",1,Quelle donnée clinique supplémentaire est prioritaire à recueillir pour compléter l’évaluation?,Le poids habituel,Le niveau de conscience,L’heure du dernier repas,Les ATCD familiaux,B,Correct : L’état neurologique est prioritaire car l’hyperglycémie sévère peut évoluer vers une altération de conscience.,Incorrect : La donnée prioritaire est l’état neurologique.
2,Gestion et organisation des soins,1,"Mme Lavoie, 62 ans, admise à l’urgence pour hyperglycémie sévère.",2,Quelle intervention infirmière est prioritaire à mettre en place?,Administrer l’insuline prescrite,Encourager à boire de l’eau,"Installer un soluté NaCl 0,9 % IV",Encourager à marcher,C,Correct : La réhydratation IV est prioritaire dans la prise en charge de l’acidocétose diabétique.,Incorrect : L’intervention prioritaire est la réhydratation IV.
3,Hors sujet OIIQ – à réviser,1,"Mme Lavoie, 62 ans, admise à l’urgence pour hyperglycémie sévère.",3,Quels résultats indiquent une amélioration de la condition?,Glycémie 20 mmol/L après 1h,TA 100/60 mmHg et FR 28,Diminution cétonurie + conscience normale,Soif persistante,C,Correct : La normalisation de la conscience et la disparition des cétones indiquent une amélioration.,Incorrect : L’amélioration se juge par la conscience et la disparition des cétones.
4,Gériatrie,2,"M. Dubé, 84 ans, en CHSLD, chute récente sans blessure. ATCD : Parkinson, arthrose genou. Marqueurs : démarche instable, rigidité musculaire.",1,Quelle donnée clinique supplémentaire est prioritaire pour l’évaluation du risque de chute?,Force musculaire des jambes,Niveau de douleur,Vision et audition,Historique tabagique,A,Correct : La force musculaire est essentielle pour évaluer la capacité de marche.,Incorrect : La priorité est la force musculaire.
5,Gériatrie,2,"M. Dubé, 84 ans, en CHSLD, risque élevé de chute.",2,Quelle intervention infirmière est la plus appropriée pour prévenir une chute?,Installer des contentions,Encourager la marche seul,Utiliser une marchette adaptée,Donner des analgésiques,C,Correct : La marchette adaptée réduit le risque de chute et favorise l’autonomie.,Incorrect : La meilleure intervention est l’utilisation d’une marchette adaptée.
6,Périnatalité,3,"Mme Tremblay, 29 ans, 2h post-partum, présente saignement vaginal abondant, utérus mou à la palpation, TA 90/55, FC 120/min.",1,Quelle est l’intervention prioritaire immédiate?,Administrer O2 2 L/min,Installer une sonde urinaire,Masser le fond utérin,Administrer des analgésiques,C,Correct : Le massage utérin est la première intervention en cas d’atonie utérine.,Incorrect : L’intervention prioritaire est le massage utérin.
7,Périnatalité,3,"Mme Tremblay, 29 ans, post-partum hémorragique.",2,Quel signe indique une amélioration après l’intervention?,Uterus ferme et saignement diminué,FC 140/min,TA 85/50 mmHg,Persistance lochies abondantes,A,Correct : Un utérus ferme et une diminution du saignement confirment l’efficacité.,Incorrect : L’amélioration est confirmée par utérus ferme et saignement réduit.
8,Pédiatrie,4,"Émile, 7 ans, asthme, arrive à l’urgence avec dyspnée, tirage intercostal, sibilances, saturation O2 88 %.",1,Quelle intervention infirmière est prioritaire?,Installer une perfusion IV,Administrer bronchodilatateur par nébulisation,Mettre sous oxygène 2 L/min,Encourager respiration lente,B,Correct : Le traitement immédiat est le bronchodilatateur inhalé.,Incorrect : L’intervention prioritaire est le bronchodilatateur nébulisé.
9,Pédiatrie,4,"Émile, 7 ans, crise d’asthme.",2,Quel signe clinique indiquerait une amélioration?,FR 38/min,Saturation O2 95 %,Persistances sibilances,Agitation croissante,B,Correct : Une saturation ≥ 95 % montre l’efficacité du traitement.,Incorrect : Le signe d’amélioration est une saturation de 95 %.
10,Santé mentale,5,"Mme Gagnon, 35 ans, consulte à l’urgence pour idées suicidaires. Elle mentionne avoir un plan précis et accès aux moyens.",1,Quelle est l’intervention prioritaire de l’infirmière?,Donner un anxiolytique,Laisser seule pour réfléchir,Assurer surveillance constante,Informer la famille,C,"Correct : La sécurité de la patiente est prioritaire, incluant une surveillance constante.",Incorrect : La priorité est la surveillance constante.
