id,theme,scenario_id,scenario_text,question_number,question,option_a,option_b,option_c,option_d,correct_answer,feedback_correct,feedback_incorrect
192,Médecine-chirurgie,SCN001,Scénario clinique SCN001 : Cas typique lié au domaine Médecine-chirurgie. Patient avec situation nécessitant analyse et interventions infirmières.,1,Question 1 liée à SCN001 dans le domaine Médecine-chirurgie.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Médecine-chirurgie.
193,Médecine-chirurgie,SCN001,Scénario clinique SCN001 : Cas typique lié au domaine Médecine-chirurgie. Patient avec situation nécessitant analyse et interventions infirmières.,2,Question 2 liée à SCN001 dans le domaine Médecine-chirurgie.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Médecine-chirurgie.
194,Médecine-chirurgie,SCN001,Scénario clinique SCN001 : Cas typique lié au domaine Médecine-chirurgie. Patient avec situation nécessitant analyse et interventions infirmières.,3,Question 3 liée à SCN001 dans le domaine Médecine-chirurgie.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Médecine-chirurgie.
195,Médecine-chirurgie,SCN001,Scénario clinique SCN001 : Cas typique lié au domaine Médecine-chirurgie. Patient avec situation nécessitant analyse et interventions infirmières.,4,Question 4 liée à SCN001 dans le domaine Médecine-chirurgie.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Médecine-chirurgie.
196,Médecine-chirurgie,SCN002,Scénario clinique SCN002 : Cas typique lié au domaine Médecine-chirurgie. Patient avec situation nécessitant analyse et interventions infirmières.,1,Question 1 liée à SCN002 dans le domaine Médecine-chirurgie.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Médecine-chirurgie.
197,Médecine-chirurgie,SCN002,Scénario clinique SCN002 : Cas typique lié au domaine Médecine-chirurgie. Patient avec situation nécessitant analyse et interventions infirmières.,2,Question 2 liée à SCN002 dans le domaine Médecine-chirurgie.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Médecine-chirurgie.
198,Médecine-chirurgie,SCN002,Scénario clinique SCN002 : Cas typique lié au domaine Médecine-chirurgie. Patient avec situation nécessitant analyse et interventions infirmières.,3,Question 3 liée à SCN002 dans le domaine Médecine-chirurgie.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Médecine-chirurgie.
199,Médecine-chirurgie,SCN003,Scénario clinique SCN003 : Cas typique lié au domaine Médecine-chirurgie. Patient avec situation nécessitant analyse et interventions infirmières.,1,Question 1 liée à SCN003 dans le domaine Médecine-chirurgie.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Médecine-chirurgie.
200,Médecine-chirurgie,SCN003,Scénario clinique SCN003 : Cas typique lié au domaine Médecine-chirurgie. Patient avec situation nécessitant analyse et interventions infirmières.,2,Question 2 liée à SCN003 dans le domaine Médecine-chirurgie.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Médecine-chirurgie.
201,Médecine-chirurgie,SCN003,Scénario clinique SCN003 : Cas typique lié au domaine Médecine-chirurgie. Patient avec situation nécessitant analyse et interventions infirmières.,3,Question 3 liée à SCN003 dans le domaine Médecine-chirurgie.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Médecine-chirurgie.
202,Médecine-chirurgie,SCN003,Scénario clinique SCN003 : Cas typique lié au domaine Médecine-chirurgie. Patient avec situation nécessitant analyse et interventions infirmières.,4,Question 4 liée à SCN003 dans le domaine Médecine-chirurgie.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Médecine-chirurgie.
203,Médecine-chirurgie,SCN004,Scénario clinique SCN004 : Cas typique lié au domaine Médecine-chirurgie. Patient avec situation nécessitant analyse et interventions infirmières.,1,Question 1 liée à SCN004 dans le domaine Médecine-chirurgie.,Option A,Option B,Option C,Option D,A,Correct! L'analyse est cohérente avec la pratique clinique.,Ce choix n'est pas optimal. Revoir : Médecine-chirurgie.
