id,theme,scenario_id,scenario_text,question_number,question,option_a,option_b,option_c,option_d,correct_answer,feedback_correct,feedback_incorrect
1,Périnatalité,PER001,"Mme Caron, 30 ans, 1 h post-accouchement vaginal, saignements abondants, utérus mou, TA 88/50, FC 124. Ordonnance : ocytocine 20 UI/1000 mL à 120 mUI/min.",1.0,Intervention immédiate prioritaire ?,Massage du fond utérin,Antalgique PO,Observation,Sonde gastrique,A,Correct! L’atonie utérine se traite d’abord par massage.,Revoir : HPP et atonie – interventions initiales.
2,Périnatalité,PER001,"Mme Caron, 30 ans, 1 h post-accouchement vaginal, saignements abondants, utérus mou, TA 88/50, FC 124. Ordonnance : ocytocine 20 UI/1000 mL à 120 mUI/min.",2.0,Calculez le débit d’ocytocine (mL/h).,36 mL/h,120 mL/h,240 mL/h,360 mL/h,D,Correct! 20 000 mUI/1000 mL → 20 mUI/mL ; 120/20=6 mL/min = 360 mL/h.,Revoir : Conversion UI ↔ mUI et mL/h.
3,Périnatalité,PER001,"Mme Caron, 30 ans, 1 h post-accouchement vaginal, saignements abondants, utérus mou, TA 88/50, FC 124. Ordonnance : ocytocine 20 UI/1000 mL à 120 mUI/min.",3.0,Quel signe suggère une amélioration ?,"Utérus tonique, saignements diminuent",TA 70/40,FC 140/min,Lipothymie persistante,A,Correct! La tonicité utérine et la réduction des pertes sont rassurantes.,Revoir : Suivi clinique dans l’HPP.
4,Respiratoire,RES002,"Jeune homme, 22 ans, douleur thoracique latérale droite, dyspnée soudaine. SpO₂ 92% AA, MV diminué à droite, tympanisme. Fumeur.",1.0,Hypothèse la plus probable ?,Pneumonie,Infarctus du myocarde,Pneumothorax spontané,Embolie pulmonaire,C,Correct! Tableau typique de pneumothorax.,"Revoir : Sémiologie pneumothorax (MV ↓, tympanisme)."
5,Urgences / Soins critiques,RES002,"Jeune homme, 22 ans, douleur thoracique latérale droite, dyspnée soudaine. SpO₂ 92% AA, MV diminué à droite, tympanisme. Fumeur.",2.0,Surveillance prioritaire en attendant le geste médical ?,TA seulement,SpO₂ et signes de détresse,Poids,Périmètre abdominal,B,Correct! Risque d’aggravation respiratoire.,Revoir : Surveillance respiratoire aiguë.
6,Communication et relation thérapeutique,RES002,"Jeune homme, 22 ans, douleur thoracique latérale droite, dyspnée soudaine. SpO₂ 92% AA, MV diminué à droite, tympanisme. Fumeur.",3.0,Éducation pertinente après prise en charge ?,Poursuivre tabac sans impact,Éviter vols/Plongée avant contrôle médical,Arrêt activité physique à vie,Aucune restriction,B,Correct! Éviter pression/altitude tant que non résolu.,Revoir : Recommandations après pneumothorax.
7,Urgences / Soins critiques,URG004,"Adolescent 15 ans, brûlure thermique du tronc et des membres supérieurs estimée à ~15 % de surface corporelle. Douleur 8/10, TA 118/70, FC 110, FR 22.",1.0,Priorité initiale ?,Refroidir doucement la zone et analgésie,Pommade grasse immédiatement,Glace prolongée directe,Percer systématiquement les phlyctènes,A,Correct! Refroidissement doux + analgésie rapide.,Revoir : Premiers soins en brûlures (éviter hypothermie).
8,Gestion et organisation des soins,URG004,"Adolescent 15 ans, brûlure thermique du tronc et des membres supérieurs estimée à ~15 % de surface corporelle. Douleur 8/10, TA 118/70, FC 110, FR 22.",2.0,Indication d’orientation vers centre spécialisé ?,"Brûlures des mains/visage/périnée, étendues ou profondes",Uniquement si douleur >7/10,Jamais chez l’adolescent,Seulement si fièvre,A,Correct! Localisations/étendue/profondeur guident la référence.,Revoir : Critères de transfert brûlés.
9,Infectiologie,INF001,"Mme Girard, 48 ans, toux productive, fièvre 38,5 °C, FR 24/min, SpO₂ 91% AA. Rx Thorax: foyer alvéolaire lobaire.",1.0,Intervention prioritaire ?,Antibiothérapie selon protocole,Antitussif anticholinergique,Jeûne strict,Diurétiques,A,Correct! Antibiothérapie empirique rapidement.,Revoir : Pneumonie communautaire – prise en charge.
10,Infectiologie,INF001,"Mme Girard, 48 ans, toux productive, fièvre 38,5 °C, FR 24/min, SpO₂ 91% AA. Rx Thorax: foyer alvéolaire lobaire.",2.0,Surveillance ?,SpO₂ et FR,Périmètre abdominal,Glycémie capillaire,Score de Braden,A,Correct! Évaluer l’oxygénation.,Revoir : Paramètres respiratoires.
11,Infectiologie,INF001,"Mme Girard, 48 ans, toux productive, fièvre 38,5 °C, FR 24/min, SpO₂ 91% AA. Rx Thorax: foyer alvéolaire lobaire.",3.0,Éducation ?,Arrêter l’hydratation,"Sevrer tabac, hydratation, hygiène des mains",Éviter vaccins,Aérosols non prescrits,B,Correct! Prévention et rétablissement.,Revoir : Éducation pneumonie.
12,Oncologie,ONC001,"M. Picard, 62 ans, chimio récente. Fièvre 38,6 °C, frissons, TA 110/70, FC 108, FR 22. Numération : neutrophiles 0,3 ×10⁹/L.",1.0,Priorité infirmière ?,Administrer antipyrétique et observer,Isolement protecteur et avertir rapidement,Sortie de l’hôpital,Perfusion lente sans précaution,B,Correct! Neutropénie fébrile = urgence.,Revoir : Neutropénie fébrile – précautions et prise en charge.
13,Oncologie,ONC001,"M. Picard, 62 ans, chimio récente. Fièvre 38,6 °C, frissons, TA 110/70, FC 108, FR 22. Numération : neutrophiles 0,3 ×10⁹/L.",2.0,Mesure de prévention des infections à enseigner ?,Éviter fruits/légumes,Hygiène des mains rigoureuse,Isoler toutes les visites,Port de masque N95 à la maison,B,Correct! L’hygiène des mains est essentielle.,Revoir : Prévention des infections en neutropénie.
