id,theme,scenario_id,scenario_text,question_number,question,option_a,option_b,option_c,option_d,correct_answer,feedback_correct,feedback_incorrect
1,Pédiatrie,SCN001,"Un enfant de 3 ans est amené à l’urgence par ses parents pour de la fièvre, une toux aboyante et une respiration bruyante. L’enfant présente un stridor au repos. (variante 1)",1,Quelle est la priorité immédiate de l’infirmière ?,Donner de l’acétaminophène,Installer l’enfant assis et administrer O2 humidifié,Administrer un antibiotique prescrit,Donner des liquides PO,B,Correct! La priorité est l’oxygénation.,Revoir : Soins infirmiers en pédiatrie – Laryngotrachéobronchite.
2,Pédiatrie,SCN001,"Un enfant de 3 ans est amené à l’urgence par ses parents pour de la fièvre, une toux aboyante et une respiration bruyante. L’enfant présente un stridor au repos. (variante 1)",2,Quel signe indique une aggravation imminente ?,Toux plus forte,Stridor qui diminue avec léthargie,FC augmente,Refus de boire,B,Correct! La diminution du stridor avec léthargie indique une obstruction critique.,Revoir : Signes de détresse respiratoire en pédiatrie.
3,Pédiatrie,SCN001,"Un enfant de 3 ans est amené à l’urgence par ses parents pour de la fièvre, une toux aboyante et une respiration bruyante. L’enfant présente un stridor au repos. (variante 1)",3,Quel traitement médical est le plus utilisé ici ?,Antibiotiques IV,Adrénaline nébulisée,Corticostéroïdes oraux,Bronchodilatateurs,B,Correct! L’adrénaline en aérosol réduit l’œdème laryngé.,Revoir : Traitement du croup sévère.
4,Gériatrie,SCN002,"M. Tremblay, 58 ans, est admis à l'urgence pour douleur thoracique intense irradiant au bras gauche. Il est diaphorétique et anxieux. Son ECG montre une élévation du segment ST en dérivations antérieures. (variante 2)",1,Quelle est l’intervention prioritaire de l’infirmière ?,Administrer l’oxygène,Donner l’analgésique prescrit,Aviser immédiatement le médecin,Prendre la glycémie capillaire,C,Correct! L’élévation du segment ST indique un infarctus aigu nécessitant une prise en charge médicale urgente.,Ce choix n’est pas optimal. Revoir : Infarctus aigu du myocarde et interventions prioritaires en cardiologie.
5,Gériatrie,SCN002,"M. Tremblay, 58 ans, est admis à l'urgence pour douleur thoracique intense irradiant au bras gauche. Il est diaphorétique et anxieux. Son ECG montre une élévation du segment ST en dérivations antérieures. (variante 2)",2,Quel médicament est administré en premier pour soulager la douleur et réduire la demande en oxygène du myocarde ?,Ibuprofène,Morphine,Aspirine,Nitroglycérine,D,Correct! La nitroglycérine sublinguale est utilisée en premier.,Revoir : Pharmacologie de l’angor et de l’infarctus.
6,Gériatrie,SCN002,"M. Tremblay, 58 ans, est admis à l'urgence pour douleur thoracique intense irradiant au bras gauche. Il est diaphorétique et anxieux. Son ECG montre une élévation du segment ST en dérivations antérieures. (variante 2)",3,Quel paramètre doit être surveillé en priorité après l’administration de nitroglycérine ?,Température,Fréquence respiratoire,Pression artérielle,Saturation O2,C,Correct! La nitroglycérine peut provoquer une hypotension.,Revoir : Effets secondaires de la nitroglycérine.
7,Urgence,SCN003,"Un enfant de 3 ans est amené à l’urgence par ses parents pour de la fièvre, une toux aboyante et une respiration bruyante. L’enfant présente un stridor au repos. (variante 3)",1,Quelle est la priorité immédiate de l’infirmière ?,Donner de l’acétaminophène,Installer l’enfant assis et administrer O2 humidifié,Administrer un antibiotique prescrit,Donner des liquides PO,B,Correct! La priorité est l’oxygénation.,Revoir : Soins infirmiers en pédiatrie – Laryngotrachéobronchite.
8,Urgence,SCN003,"Un enfant de 3 ans est amené à l’urgence par ses parents pour de la fièvre, une toux aboyante et une respiration bruyante. L’enfant présente un stridor au repos. (variante 3)",2,Quel signe indique une aggravation imminente ?,Toux plus forte,Stridor qui diminue avec léthargie,FC augmente,Refus de boire,B,Correct! La diminution du stridor avec léthargie indique une obstruction critique.,Revoir : Signes de détresse respiratoire en pédiatrie.
9,Urgence,SCN003,"Un enfant de 3 ans est amené à l’urgence par ses parents pour de la fièvre, une toux aboyante et une respiration bruyante. L’enfant présente un stridor au repos. (variante 3)",3,Quel traitement médical est le plus utilisé ici ?,Antibiotiques IV,Adrénaline nébulisée,Corticostéroïdes oraux,Bronchodilatateurs,B,Correct! L’adrénaline en aérosol réduit l’œdème laryngé.,Revoir : Traitement du croup sévère.
10,Santé mentale,SCN004,"M. Tremblay, 58 ans, est admis à l'urgence pour douleur thoracique intense irradiant au bras gauche. Il est diaphorétique et anxieux. Son ECG montre une élévation du segment ST en dérivations antérieures. (variante 4)",1,Quelle est l’intervention prioritaire de l’infirmière ?,Administrer l’oxygène,Donner l’analgésique prescrit,Aviser immédiatement le médecin,Prendre la glycémie capillaire,C,Correct! L’élévation du segment ST indique un infarctus aigu nécessitant une prise en charge médicale urgente.,Ce choix n’est pas optimal. Revoir : Infarctus aigu du myocarde et interventions prioritaires en cardiologie.
