id,theme,scenario_id,scenario_text,question_number,question,option_a,option_b,option_c,option_d,correct_answer,feedback_correct,feedback_incorrect
1,Médecine-chirurgie,SCN001,"Mme Bouchard, 68 ans, post-opératoire hanche, douleur, absence de pouls pédieux.",1,Quelle est l’intervention prioritaire de l’infirmière ?,Administrer l’analgésique prescrit,Appliquer de la glace,Aviser immédiatement le chirurgien,Surélever la jambe,C,Correct! L’absence de pouls indique une complication grave.,Ce choix n’est pas optimal. Revoir : Soins post-opératoires.
2,Médecine-chirurgie,SCN001,"Mme Bouchard, 68 ans, post-opératoire hanche, douleur, absence de pouls pédieux.",2,"Si l’infirmière tarde, quelle complication risque de survenir ?",Embolie pulmonaire,Thrombose veineuse profonde,Ischémie et perte du membre,Infection de la plaie,C,Correct! L’ischémie peut mener à une perte du membre.,Revoir : Complications vasculaires post-chirurgicales.
3,Médecine-chirurgie,SCN001,"Mme Bouchard, 68 ans, post-opératoire hanche, douleur, absence de pouls pédieux.",3,Quelle donnée est la plus pertinente à documenter ?,Pansement chirurgical,Score de douleur,Température corporelle,Couleur et température du pied gauche,D,Correct! Évaluer la perfusion distale est prioritaire.,Revoir : Surveillance neurovasculaire post-chirurgicale.
4,Périnatalité,SCN002,"Mme Roy, 30 ans, enceinte 39 sem., contractions q3 min, RCF 170 bpm.",1,Quelle est la première action infirmière ?,Installer en décubitus dorsal,Oxygéner la patiente au masque,Encourager à marcher,Administrer un analgésique,B,Correct! L’hyperthermie/tachycardie fœtale exige oxygénation immédiate.,Revoir : Surveillance fœtale et interventions immédiates.
5,Périnatalité,SCN002,"Mme Roy, 30 ans, enceinte 39 sem., contractions q3 min, RCF 170 bpm.",2,Quelle complication est suspectée devant ce tracé fœtal tachycarde ?,Compression du cordon,Fièvre maternelle,Pré-éclampsie,Hypoglycémie fœtale,B,Correct! La fièvre maternelle peut causer une tachycardie fœtale.,Revoir : Facteurs influençant le rythme cardiaque fœtal.
6,Périnatalité,SCN002,"Mme Roy, 30 ans, enceinte 39 sem., contractions q3 min, RCF 170 bpm.",3,Quelle donnée doit être recueillie en priorité ?,Température maternelle,Tension artérielle maternelle,Intensité des contractions,Perte sanguine vaginale,A,Correct! La fièvre maternelle est une cause fréquente de tachycardie fœtale.,Revoir : Surveillance maternelle en travail.
7,Soins critiques,SCN003,"M. Gagnon, 55 ans, douleur thoracique irradiant au bras gauche, dyspnée, ST+ à l’ECG.",1,Quelle est la priorité immédiate de l’infirmière ?,Administrer de la nitroglycérine sublinguale,Prendre la température,Préparer un bilan sanguin complet,Administrer un laxatif,A,Correct! La nitroglycérine soulage la douleur ischémique.,Revoir : Interventions initiales en cas de SCA.
8,Soins critiques,SCN003,"M. Gagnon, 55 ans, douleur thoracique irradiant au bras gauche, dyspnée, ST+ à l’ECG.",2,"Si la douleur persiste après 3 doses de nitro, quelle action est prioritaire ?",Donner un sédatif,Demander une radiographie,Administrer la morphine prescrite,Encourager la respiration profonde,C,Correct! La morphine est indiquée après échec de la nitro.,Revoir : Prise en charge de l’angor instable et infarctus.
9,Soins critiques,SCN003,"M. Gagnon, 55 ans, douleur thoracique irradiant au bras gauche, dyspnée, ST+ à l’ECG.",3,Quelle complication aiguë doit être surveillée ?,AVC,Insuffisance cardiaque gauche,Trouble du rythme ventriculaire,Infection pulmonaire,C,Correct! Les arythmies ventriculaires sont fréquentes post-infarctus.,Revoir : Complications d’un infarctus du myocarde.
10,Gériatrie,SCN004,"Mme Tremblay, 82 ans, hospitalisée pour pneumonie, devient confuse et agitée soudainement.",1,Quelle hypothèse est la plus probable ?,Maladie d’Alzheimer,AVC ischémique,Délirium aigu,Dépression sévère,C,Correct! Le délirium apparaît brutalement en contexte aigu.,Revoir : Différences entre démence et délirium.
11,Gériatrie,SCN004,"Mme Tremblay, 82 ans, hospitalisée pour pneumonie, devient confuse et agitée soudainement.",2,Quelle est l’intervention prioritaire ?,Administrer un anxiolytique d’emblée,Réorienter la patiente dans le temps et l’espace,Restreindre physiquement la patiente,Fermer les lumières et isoler la patiente,B,Correct! La réorientation est la première approche.,Revoir : Interventions infirmières face au délirium.
12,Gériatrie,SCN004,"Mme Tremblay, 82 ans, hospitalisée pour pneumonie, devient confuse et agitée soudainement.",3,Quelle donnée est importante à rechercher comme facteur contributif ?,Usage de caféine,"Médicaments en cours (anticholinergiques, opioïdes)",Antécédents de diabète,Nombre de frères et sœurs,B,Correct! Les médicaments sont souvent impliqués dans le délirium.,Revoir : Facteurs de risque du délirium.
13,Soins palliatifs,SCN005,"M. Lapointe, 72 ans, cancer pulmonaire métastatique, dyspnée sévère à domicile.",1,Quelle intervention est prioritaire ?,Administrer un bronchodilatateur,Administrer la morphine prescrite,Encourager à marcher,Donner un anxiolytique léger,B,Correct! La morphine est le traitement de choix de la dyspnée terminale.,Revoir : Utilisation de la morphine en soins palliatifs.
14,Soins palliatifs,SCN005,"M. Lapointe, 72 ans, cancer pulmonaire métastatique, dyspnée sévère à domicile.",2,Quelle explication l’infirmière doit donner à la conjointe ?,La morphine va aggraver la détresse respiratoire,La morphine soulage la dyspnée en diminuant la perception de l’essoufflement,La morphine ne doit jamais être donnée sans consentement médical,La morphine ne sert qu’à diminuer la douleur,B,Correct! La morphine réduit la sensation de dyspnée.,Revoir : Gestion de la dyspnée en phase terminale.
15,Soins palliatifs,SCN005,"M. Lapointe, 72 ans, cancer pulmonaire métastatique, dyspnée sévère à domicile.",3,Quelle autre intervention complémentaire peut aider ?,Installer un ventilateur dirigé vers le visage,Isoler le patient dans une pièce sombre,Restreindre la consommation d’eau,Proposer un effort physique léger,A,Correct! L’air frais réduit la perception d’essoufflement.,Revoir : Interventions non pharmacologiques pour la dyspnée.
