id,theme,scenario_id,scenario_text,question_number,question,option_a,option_b,option_c,option_d,correct_answer,feedback_correct,feedback_incorrect
1,Cardiologie,CAR001,"M. Lavoie, 59 ans, douleur thoracique oppressive depuis 45 min, irradiant au bras gauche. Diaphorétique, nauséeux. TA 92/58 mmHg, FC 54/min, SpO₂ 93% AA. ECG: ST+ en V2–V4. Allergies: AAS tolérée.",1,Quelle est la priorité immédiate de l’infirmière ?,Oxygénothérapie à 2–4 L/min,Administrer l’AAS à croquer,Poser un cathéter urinaire,Administrer un bêtabloquant IM,B,Correct! L’administration rapide d’AAS à croquer diminue la mortalité du SCA.,Revoir : SCA – protocole MONA modifié (AAS prioritaire).
2,Cardiologie,CAR001,"M. Lavoie, 59 ans, douleur thoracique oppressive depuis 45 min, irradiant au bras gauche. Diaphorétique, nauséeux. TA 92/58 mmHg, FC 54/min, SpO₂ 93% AA. ECG: ST+ en V2–V4. Allergies: AAS tolérée.",2,Quel paramètre doit être surveillé de près après la nitroglycérine SL ?,Température axillaire,Pression artérielle,Glycémie capillaire,Saturation en O₂,B,Correct! Risque d’hypotension après la nitroglycérine.,Revoir : Effets et contre-indications de la nitroglycérine.
3,Cardiologie,CAR001,"M. Lavoie, 59 ans, douleur thoracique oppressive depuis 45 min, irradiant au bras gauche. Diaphorétique, nauséeux. TA 92/58 mmHg, FC 54/min, SpO₂ 93% AA. ECG: ST+ en V2–V4. Allergies: AAS tolérée.",3,Une perfusion de nitroglycérine IV 20 mg/250 mL doit débuter à 10 mcg/min. Quel débit mL/h ?,"1,5 mL/h","3,0 mL/h","7,5 mL/h",15 mL/h,C,"Correct! 20 mg=20000 mcg; 20000/250=80 mcg/mL; 10 mcg/min=600 mcg/h; 600/80 ≈ 7,5 mL/h.",Revoir : Conversion mcg/min → mL/h selon la concentration.
4,Cardiologie,CAR002,"Mme Bérubé, 71 ans, palpitations soudaines, étourdissements. TA 102/64 mmHg, FC 168/min irrégulière, FR 20/min, SpO₂ 95% AA. ECG: fibrillation auriculaire rapide.",1,Intervention infirmière prioritaire ?,Installer un O₂ à 6 L/min systématique,Évaluer stabilité hémodynamique et signes d’hypoperfusion,Faire boire de l’eau,Administrer un AINS,B,"Correct! Prioriser l’évaluation de stabilité (TA, état mental, douleur thoracique).",Revoir : FA – évaluation initiale et critères d’instabilité.
5,Cardiologie,CAR002,"Mme Bérubé, 71 ans, palpitations soudaines, étourdissements. TA 102/64 mmHg, FC 168/min irrégulière, FR 20/min, SpO₂ 95% AA. ECG: fibrillation auriculaire rapide.",2,Quel médicament est habituellement attendu pour ralentir la FC si stable ?,Bêtabloquant IV,Amoxicilline IV,Vitamine K PO,Morphine IV,A,Correct! Un bêtabloquant ou un inhibiteur calcique peut être utilisé.,Revoir : Contrôle de la fréquence en FA.
6,Cardiologie,CAR002,"Mme Bérubé, 71 ans, palpitations soudaines, étourdissements. TA 102/64 mmHg, FC 168/min irrégulière, FR 20/min, SpO₂ 95% AA. ECG: fibrillation auriculaire rapide.",3,Quel risque majeur doit être envisagé si FA >48 h non anticoagulée ?,Hypoglycémie,AVC embolique,Hyperkaliémie,Hémolyse,B,Correct! Le risque thromboembolique (AVC) augmente.,Revoir : CHA₂DS₂-VASc et risque d’AVC en FA.
7,Cardiologie,CAR003,"M. Fortin, 76 ans, OAP aigu : dyspnée, orthopnée, crépitants bilatéraux, SpO₂ 84% AA, TA 168/96 mmHg, FC 118/min. ATCD : HTA, IC systolique.",1,Intervention immédiate prioritaire ?,Mettre en position de Trendelenburg,Oxygénothérapie haut débit et position Fowler,"Donner 1 L NaCl 0,9% en bolus",Administrer un AINS,B,Correct! Oxygénation et position assise améliorent l’échange gazeux.,Revoir : Priorités en OAP aigu.
8,Cardiologie,CAR003,"M. Fortin, 76 ans, OAP aigu : dyspnée, orthopnée, crépitants bilatéraux, SpO₂ 84% AA, TA 168/96 mmHg, FC 118/min. ATCD : HTA, IC systolique.",2,Une dose de furosémide 80 mg IV est prescrite. Ampoule 10 mg/mL. Quel volume ?,4 mL,6 mL,8 mL,10 mL,C,Correct! 80 ÷ 10 = 8 mL.,Revoir : Calcul de volume des diurétiques IV.
9,Cardiologie,CAR003,"M. Fortin, 76 ans, OAP aigu : dyspnée, orthopnée, crépitants bilatéraux, SpO₂ 84% AA, TA 168/96 mmHg, FC 118/min. ATCD : HTA, IC systolique.",3,Quel signe suggère une amélioration clinique ?,Augmentation des crépitants,SpO₂ 92% et diminution de la dyspnée,TA 90/50,FC 140/min,B,Correct! La remontée de la SpO₂ et la dyspnée moindre indiquent une amélioration.,Revoir : Indicateurs d’amélioration en IC/OAP.
10,Neurologie,NEU001,"M. Gendron, 66 ans, faiblesse hémicorporelle droite et dysarthrie depuis 70 minutes. TA 174/98, gly 6,2 mmol/L. Anticoagulants : aucun.",1,Action prioritaire ?,Scanner cérébral sans délai,IRM demain,Observation en salle d’attente,Administrer un laxatif,A,Correct! Imagerie urgente pour distinguer ischémie vs hémorragie.,Revoir : Fenêtre thérapeutique et imagerie en AVC.
