id,theme,scenario_id,scenario_text,question_number,question,option_a,option_b,option_c,option_d,correct_answer,feedback_correct,feedback_incorrect
1,Cardiologie,CAR001,"M. Lavoie, 59 ans, douleur thoracique oppressive depuis 45 min, irradiant au bras gauche. Diaphorétique, nauséeux. TA 92/58 mmHg, FC 54/min, SpO₂ 93% AA. ECG: ST+ en V2–V4. Allergies: AAS tolérée. Signes vitaux : TA 88/56 mmHg, FC 128 bpm, FR 28/min, SpO2 89% à l’air ambiant, T° 38,9 °C. Résultats labo : Troponine élevée, D-dimères positifs, hémoglobine 112 g/L. Ordonnances : Oxygène 4 L/min, Soluté NaCl 0.9% IV 100 ml/h, Morphine 2 mg IV q4h PRN douleur.",1.0,Quelle est la priorité immédiate de l’infirmière ?,Oxygénothérapie à 2–4 L/min,Administrer l’AAS à croquer,Poser un cathéter urinaire,Administrer un bêtabloquant IM,B,Correct! L’administration rapide d’AAS à croquer diminue la mortalité du SCA.,"Dans le syndrome coronarien aigu, l’AAS à croquer précoce réduit la mortalité. La nitroglycérine peut aggraver une hypotension ou un infarctus inférieur dépendant du remplissage. La priorité est donc antiagrégante + ECG/monitorage. Revoir : SCA – priorités initiales (AAS, ECG, oxygène titré). Étapes générales : 1) convertir les unités; 2) appliquer la formule; 3) arrondir selon protocole; 4) vérifier la cohérence clinique. Revoir : SCA – protocole MONA modifié (AAS prioritaire)."
2,Cardiologie,CAR001,"M. Lavoie, 59 ans, douleur thoracique oppressive depuis 45 min, irradiant au bras gauche. Diaphorétique, nauséeux. TA 92/58 mmHg, FC 54/min, SpO₂ 93% AA. ECG: ST+ en V2–V4. Allergies: AAS tolérée. Signes vitaux : TA 88/56 mmHg, FC 128 bpm, FR 28/min, SpO2 89% à l’air ambiant, T° 38,9 °C. Résultats labo : Troponine élevée, D-dimères positifs, hémoglobine 112 g/L. Ordonnances : Oxygène 4 L/min, Soluté NaCl 0.9% IV 100 ml/h, Morphine 2 mg IV q4h PRN douleur.",2.0,Quel paramètre doit être surveillé de près après la nitroglycérine SL ?,Température axillaire,Pression artérielle,Glycémie capillaire,Saturation en O₂,B,Correct! Risque d’hypotension après la nitroglycérine.,"Dans le syndrome coronarien aigu, l’AAS à croquer précoce réduit la mortalité. La nitroglycérine peut aggraver une hypotension ou un infarctus inférieur dépendant du remplissage. La priorité est donc antiagrégante + ECG/monitorage. Revoir : SCA – priorités initiales (AAS, ECG, oxygène titré). Étapes générales : 1) convertir les unités; 2) appliquer la formule; 3) arrondir selon protocole; 4) vérifier la cohérence clinique. Revoir : Effets et contre-indications de la nitroglycérine."
3,Cardiologie,CAR001,"M. Lavoie, 59 ans, douleur thoracique oppressive depuis 45 min, irradiant au bras gauche. Diaphorétique, nauséeux. TA 92/58 mmHg, FC 54/min, SpO₂ 93% AA. ECG: ST+ en V2–V4. Allergies: AAS tolérée. Signes vitaux : TA 88/56 mmHg, FC 128 bpm, FR 28/min, SpO2 89% à l’air ambiant, T° 38,9 °C. Résultats labo : Troponine élevée, D-dimères positifs, hémoglobine 112 g/L. Ordonnances : Oxygène 4 L/min, Soluté NaCl 0.9% IV 100 ml/h, Morphine 2 mg IV q4h PRN douleur.",3.0,Une perfusion de nitroglycérine IV 20 mg/250 mL doit débuter à 10 mcg/min. Quel débit mL/h ?,"1,5 mL/h","3,0 mL/h","7,5 mL/h",15 mL/h,C,"Correct! 20 mg=20000 mcg; 20000/250=80 mcg/mL; 10 mcg/min=600 mcg/h; 600/80 ≈ 7,5 mL/h.","Dans le syndrome coronarien aigu, l’AAS à croquer précoce réduit la mortalité. La nitroglycérine peut aggraver une hypotension ou un infarctus inférieur dépendant du remplissage. La priorité est donc antiagrégante + ECG/monitorage. Revoir : SCA – priorités initiales (AAS, ECG, oxygène titré). Étapes générales : 1) convertir les unités; 2) appliquer la formule; 3) arrondir selon protocole; 4) vérifier la cohérence clinique. Revoir : Conversion mcg/min → mL/h selon la concentration."
4,Gériatrie,GER001,"Mme Tremblay, 82 ans, hospitalisée pour pneumonie, devient confuse et agitée soudainement. ATCD: HTA, polymédication. Signes vitaux : TA 110/70 mmHg, FC 92 bpm, FR 20/min, SpO2 91% sous O2 2 L/min, T° 37,5 °C. Résultats labo : Créatinine 145 µmol/L, Sodium 131 mmol/L, Potassium 3,2 mmol/L. Ordonnances : Morphine 1 mg SC q4h PRN douleur, Halopéridol 0,5 mg q12h agitation.",1.0,Diagnostic le plus probable ?,Maladie d’Alzheimer,AVC,Délirium aigu,Dépression,C,Correct! Début soudain en contexte aigu.,"Pneumonie communautaire : antibiothérapie empirique, surveiller SpO₂/FR et éduquer (tabac, hydratation, vaccination). Revoir : Pneumonie – critères et traitement. Étapes générales : 1) convertir les unités; 2) appliquer la formule; 3) arrondir selon protocole; 4) vérifier la cohérence clinique. Revoir : Délirium vs démence."
5,Gériatrie,GER001,"Mme Tremblay, 82 ans, hospitalisée pour pneumonie, devient confuse et agitée soudainement. ATCD: HTA, polymédication. Signes vitaux : TA 110/70 mmHg, FC 92 bpm, FR 20/min, SpO2 91% sous O2 2 L/min, T° 37,5 °C. Résultats labo : Créatinine 145 µmol/L, Sodium 131 mmol/L, Potassium 3,2 mmol/L. Ordonnances : Morphine 1 mg SC q4h PRN douleur, Halopéridol 0,5 mg q12h agitation.",2.0,Intervention prioritaire ?,Anxiolytique d’emblée,Réorienter et sécuriser l’environnement,Contention systématique,Isolement complet,B,Correct! Approche non pharmacologique d’abord.,"Pneumonie communautaire : antibiothérapie empirique, surveiller SpO₂/FR et éduquer (tabac, hydratation, vaccination). Revoir : Pneumonie – critères et traitement. Étapes générales : 1) convertir les unités; 2) appliquer la formule; 3) arrondir selon protocole; 4) vérifier la cohérence clinique. Revoir : Interventions infirmières dans le délirium."
6,Gériatrie,GER001,"Mme Tremblay, 82 ans, hospitalisée pour pneumonie, devient confuse et agitée soudainement. ATCD: HTA, polymédication. Signes vitaux : TA 110/70 mmHg, FC 92 bpm, FR 20/min, SpO2 91% sous O2 2 L/min, T° 37,5 °C. Résultats labo : Créatinine 145 µmol/L, Sodium 131 mmol/L, Potassium 3,2 mmol/L. Ordonnances : Morphine 1 mg SC q4h PRN douleur, Halopéridol 0,5 mg q12h agitation.",3.0,Facteur contributif fréquent à rechercher ?,Consommation caféine,Médicaments anticholinergiques/opioïdes,Nombre d’enfants,Antécédent d’allergies saisonnières,B,Correct! Médicaments déclenchent souvent un délirium.,"Pneumonie communautaire : antibiothérapie empirique, surveiller SpO₂/FR et éduquer (tabac, hydratation, vaccination). Revoir : Pneumonie – critères et traitement. Étapes générales : 1) convertir les unités; 2) appliquer la formule; 3) arrondir selon protocole; 4) vérifier la cohérence clinique. Revoir : Iatrogénie médicamenteuse gériatrique."
7,Obstétrique,PER003,"Mme Roy, 39 SA, travail actif : dilatation 6 cm, contractions q3 min, FCF 170 bpm. Température 38,2 °C. Signes vitaux : TA 140/92 mmHg, FC 98 bpm, FR 20/min, SpO2 97%, T° 37,0 °C. Examens : Protéinurie +++, œdème bilatéral MI. Ordonnances : Surveillance TA q30min, Labetalol IV au besoin, préparer sulfate de magnésium.",1.0,Intervention prioritaire ?,Décubitus dorsal,Oxygène et monitorage continu FCF,Marche,Épidurale immédiate,B,Correct! Suspicion d’infection/soffrance → monitorage + O₂.,"Raisonner selon la sécurité du patient, les priorités ABC, et les protocoles du milieu. Identifier le problème principal, appliquer l’intervention recommandée et surveiller la réponse clinique. Revoir : lignes directrices du domaine concerné. Revoir : Tachycardie fœtale – conduite."
8,Obstétrique,PER003,"Mme Roy, 39 SA, travail actif : dilatation 6 cm, contractions q3 min, FCF 170 bpm. Température 38,2 °C. Signes vitaux : TA 140/92 mmHg, FC 98 bpm, FR 20/min, SpO2 97%, T° 37,0 °C. Examens : Protéinurie +++, œdème bilatéral MI. Ordonnances : Surveillance TA q30min, Labetalol IV au besoin, préparer sulfate de magnésium.",2.0,Donnée à recueillir en priorité ?,Température maternelle,Saignement,TA,Glucose,A,Correct! Fièvre maternelle = cause fréquente de tachycardie fœtale.,"Raisonner selon la sécurité du patient, les priorités ABC, et les protocoles du milieu. Identifier le problème principal, appliquer l’intervention recommandée et surveiller la réponse clinique. Revoir : lignes directrices du domaine concerné. Revoir : Signes d’infection en travail."
9,Obstétrique,PER003,"Mme Roy, 39 SA, travail actif : dilatation 6 cm, contractions q3 min, FCF 170 bpm. Température 38,2 °C. Signes vitaux : TA 140/92 mmHg, FC 98 bpm, FR 20/min, SpO2 97%, T° 37,0 °C. Examens : Protéinurie +++, œdème bilatéral MI. Ordonnances : Surveillance TA q30min, Labetalol IV au besoin, préparer sulfate de magnésium.",3.0,Mesure complémentaire pertinente ?,Antibiotiques selon protocole si chorioamniotite,Jeûne strict,Sortie à domicile,Tocolyse systématique,A,Correct! Suspicion chorioamniotite.,"Raisonner selon la sécurité du patient, les priorités ABC, et les protocoles du milieu. Identifier le problème principal, appliquer l’intervention recommandée et surveiller la réponse clinique. Revoir : lignes directrices du domaine concerné. Revoir : Infections intra-utérines."
10,Pédiatrie,PED001,"Garçon 5 ans, crise d’asthme : FR 36/min, tirage, sibilances, SpO₂ 89% AA. Traitement à domicile : salbutamol PRN. Signes vitaux : TA 92/60 mmHg, FC 140 bpm, FR 32/min, SpO2 95% à l’air ambiant, T° 38,2 °C. Résultats labo : CRP 65 mg/L, Leucocytes 16 x10^9/L. Ordonnances : Acétaminophène 15 mg/kg PO q6h PRN fièvre, Ceftriaxone IV.",1.0,Action prioritaire ?,Administrer salbutamol prescrit via chambre d’inhalation,Installer perfusion IV,Prendre TA d’abord,Sonde nasogastrique,A,Correct! Le bronchodilatateur rapide est prioritaire.,"Crise d’asthme : bronchodilatateur à action rapide prioritaire, évaluer signes de gravité (tirage, FR ↑, SpO₂ ↓). Revoir : Asthme – prise en charge aiguë pédiatrique. Méthode : dose (mg/kg) × poids (kg) = mg totaux; si nécessaire, convertir en volume selon la concentration. Revoir : Prise en charge d’une exacerbation d’asthme pédiatrique."
