id,theme,scenario_id,scenario_text,question_number,question,option_a,option_b,option_c,option_d,correct_answer,feedback_correct,feedback_incorrect
1,Pharmacologie,,,1,Quelle est la voie d'administration la plus rapide pour un médicament en situation d'urgence?,Orale,Intraveineuse,Intramusculaire,Sous-cutanée,B,Correct! La voie intraveineuse permet une absorption immédiate du médicament directement dans la circulation sanguine.,"La voie intraveineuse est la plus rapide car le médicament est directement injecté dans la circulation sanguine, contrairement aux autres voies qui nécessitent une absorption."
2,Pharmacologie,,,1,"Avant d'administrer de la digoxine, l'infirmière doit obligatoirement vérifier:",La pression artérielle,Le pouls apical,La température,La glycémie,B,Excellent! Il faut toujours vérifier le pouls apical avant d'administrer de la digoxine car ce médicament peut causer une bradycardie dangereuse.,Il est essentiel de vérifier le pouls apical avant l'administration de digoxine car ce médicament peut ralentir dangereusement le rythme cardiaque.
3,Soins critiques,SC001,"Mme Dubois, 65 ans, est hospitalisée aux soins intensifs suite à un infarctus du myocarde. Elle présente une pression artérielle de 80/50 mmHg, un pouls de 110 bpm et des signes de détresse respiratoire.",1,Quelle est la priorité immédiate dans les soins à Mme Dubois?,Administrer un analgésique,Surveiller la diurèse,Améliorer la perfusion tissulaire,Prendre les signes vitaux,C,"Correct! Avec une PA basse et une tachycardie, la priorité est d'améliorer la perfusion tissulaire pour éviter le choc cardiogénique.","Avec une hypotension et une tachycardie post-infarctus, la priorité est d'améliorer la perfusion tissulaire pour prévenir le choc cardiogénique."
4,Soins critiques,SC001,"Mme Dubois, 65 ans, est hospitalisée aux soins intensifs suite à un infarctus du myocarde. Elle présente une pression artérielle de 80/50 mmHg, un pouls de 110 bpm et des signes de détresse respiratoire.",2,Quel signe indique une complication grave chez Mme Dubois?,Douleur thoracique légère,Œdème pulmonaire,Nausées,Fatigue,B,Excellent! L'œdème pulmonaire est une complication grave de l'infarctus qui nécessite une intervention immédiate.,L'œdème pulmonaire est une complication majeure de l'infarctus du myocarde qui peut mettre la vie en danger et nécessite des soins immédiats.
5,Éthique et déontologie,,,1,Un patient conscient refuse un traitement recommandé par le médecin. L'infirmière doit:,Convaincre le patient d'accepter,Respecter la décision du patient,Appeler la famille,Ignorer le refus,B,"Correct! Le principe d'autonomie du patient doit être respecté, même si l'infirmière n'est pas d'accord avec la décision.",Le respect de l'autonomie du patient est un principe fondamental en soins infirmiers. Un patient conscient a le droit de refuser un traitement.
6,Santé communautaire,,,1,Quelle est la meilleure méthode de prévention primaire contre les infections respiratoires?,Vaccination,Isolement,Antibiothérapie,Quarantaine,A,Excellent! La vaccination est la méthode de prévention primaire la plus efficace contre de nombreuses infections respiratoires.,La vaccination constitue la prévention primaire par excellence car elle prévient l'infection avant qu'elle ne survienne.
7,Pédiatrie,,,1,"Chez un nourrisson de 6 mois, quel est le signe le plus préoccupant de déshydratation?",Pleurs sans larmes,Bouche sèche,Fontanelle déprimée,Somnolence excessive,C,Correct! La fontanelle déprimée chez un nourrisson est un signe tardif mais très spécifique de déshydratation sévère.,La fontanelle déprimée est un signe clinique important de déshydratation chez le nourrisson car elle indique une perte significative de volume liquidien.
8,Santé mentale,,,1,"Face à un patient agité et agressif, la première intervention de l'infirmière doit être de:",Administrer un sédatif,Appeler la sécurité,Établir une communication calme,Utiliser des contentions,C,Excellent! La communication thérapeutique est toujours la première approche à privilégier avant toute intervention plus restrictive.,La désescalade par la communication est la première ligne d'intervention recommandée avant de considérer des mesures plus restrictives.
9,Gériatrie,GER001,"M. Martin, 78 ans, vit en CHSLD. Il présente des troubles cognitifs légers et refuse souvent de prendre ses médicaments. Il devient agité quand on insiste.",1,Quelle approche favoriserait le mieux l'adhésion de M. Martin à sa médication?,Cacher les médicaments dans sa nourriture,Expliquer calmement l'importance à chaque fois,Demander à la famille de le convaincre,Obtenir une ordonnance de contentions,B,"Correct! Une approche respectueuse et éducative, répétée avec patience, est la plus appropriée pour les personnes avec troubles cognitifs.","Même avec des troubles cognitifs, il faut maintenir le respect de la dignité de la personne et utiliser une approche éducative bienveillante."
10,Gériatrie,GER001,"M. Martin, 78 ans, vit en CHSLD. Il présente des troubles cognitifs légers et refuse souvent de prendre ses médicaments. Il devient agité quand on insiste.",2,"Si M. Martin continue de refuser, l'infirmière devrait:",Forcer l'administration,Documenter et aviser le médecin,Arrêter définitivement les médicaments,Ignorer le refus,B,Excellent! La documentation et la communication avec l'équipe médicale sont essentielles pour assurer la sécurité du patient.,Il est crucial de documenter les refus et de collaborer avec l'équipe pour trouver des stratégies alternatives tout en respectant les droits du patient.
11,Obstétrique,,,1,"Pendant le travail, une dilatation cervicale de 6 cm correspond à quelle phase?",Phase latente,Phase active,Phase de transition,Période d'expulsion,B,Correct! Une dilatation de 6 cm correspond à la phase active du travail (4-8 cm).,"La phase active du travail se caractérise par une dilatation cervicale de 4 à 8 cm, avec des contractions régulières et efficaces."
12,Cardiologie,,,1,Un patient présente une douleur thoracique. Quel signe associé suggère le plus un infarctus du myocarde?,Douleur qui augmente à la respiration,Douleur irradiant vers le bras gauche,Douleur soulagée par le repos,Douleur localisée au sternum,B,Excellent! L'irradiation vers le bras gauche est un signe classique de l'infarctus du myocarde.,"La douleur de l'infarctus du myocarde présente souvent une irradiation caractéristique vers le bras gauche, la mâchoire ou l'épigastre."
